,avg_impact,fmd,population,no_of_people,state,county,mental_health_score,mental_health_score_scaled
0,9.264568224360826,11.0,3395.0,373.45,AK,ALEUTIANS EAST BOROUGH,101.91025046796908,35.971554899435674
1,0.021887738577898365,11.0,5640.0,620.4,AK,ALEUTIANS WEST CENSUS AREA,0.24076512435688202,19.78712503061102
2,11.406803619547661,12.0,19055.8,2286.6959999999995,AK,ANCHORAGE BOROUGH,136.88164343457194,41.53853554235138
3,3.416314629270119,20.0,18219.0,3643.8,AK,BETHEL CENSUS AREA,68.32629258540238,30.625435469097553
4,6.397486283147955,14.0,880.0,123.20000000000002,AK,BRISTOL BAY BOROUGH,89.56480796407136,34.0063246464383
5,3.5334507370860377,12.0,2032.0,243.84,AK,DENALI BOROUGH,42.40140884503245,26.49853877698391
6,7.692479436029284,18.0,4991.0,898.38,AK,DILLINGHAM CENSUS AREA,138.46462984852712,41.79052592583147
7,22.646665409760146,12.0,98565.0,11827.8,AK,FAIRBANKS NORTH STAR BOROUGH,271.75998491712176,63.00937363275843
8,0.32539815909022785,12.0,2488.0,298.56,AK,HAINES BOROUGH,3.904777909082734,20.37038713479554
9,3.4339171182641897,15.0,44269.2,6640.38,AK,HOONAH-ANGOON BOROUGH,51.508756773962844,27.948307440104426
10,11.406803619547661,12.0,19055.8,2286.6959999999995,AK,JUNEAU BOROUGH,136.88164343457194,41.53853554235138
11,15.739388411625358,14.0,58561.0,8198.54,AK,KENAI PENINSULA BOROUGH,220.351437762755,54.82581665628664
12,7.301114357447674,13.0,13856.0,1801.28,AK,KETCHIKAN GATEWAY BOROUGH,94.91448664681977,34.85792234233563
13,8.70030825786097,12.0,13250.0,1590.0,AK,KODIAK ISLAND BOROUGH,104.40369909433164,36.3684787580398
14,1.4481940773601227,25.0,8323.0,2080.75,AK,KUSILVAK CENSUS AREA,36.20485193400307,25.5121293305724
15,-2.7711353858400503,17.0,1596.0,271.32,AK,LAKE AND PENINSULA BOROUGH,-47.10930155928085,12.249624167539586
16,5.354758158329954,13.0,107115.0,13924.95,AK,MATANUSKA-SUSITNA BOROUGH,69.6118560582894,30.830080076066345
17,4.244375011814115,19.0,10053.0,1910.07,AK,NOME CENSUS AREA,80.64312522446818,32.58611141212312
18,2.683920961561445,14.0,9850.0,1379.0000000000002,AK,NORTH SLOPE BOROUGH,37.574893461860235,25.73022172033952
19,6.005168439079765,19.0,7694.0,1461.8600000000001,AK,NORTHWEST ARCTIC BOROUGH,114.09820034251553,37.91171442048257
20,3.4993964879618598,13.0,3244.0,421.72,AK,PETERSBURG BOROUGH,45.492154343504176,26.99054435361629
21,1.1024553999065454,16.0,6360.0,1017.6,AK,PRINCE OF WALES-HYDER CENSUS AREA,17.639286398504726,22.556738218196525
22,11.406803619547661,12.0,19055.8,2286.6959999999995,AK,SITKA BOROUGH,136.88164343457194,41.53853554235138
23,3.596007891005711,12.0,1169.0,140.28,AK,SKAGWAY MUNICIPALITY,43.15209469206853,26.618037979756632
24,2.1225827723774113,14.0,6937.0,971.1800000000001,AK,SOUTHEAST FAIRBANKS CENSUS AREA,29.71615881328376,24.479215684971805
25,5.62872594793424,12.0,9161.0,1099.32,AK,VALDEZ-CORDOVA CENSUS AREA,67.54471137521088,30.50101813541691
26,1.189168704432187,14.0,2538.0,355.32000000000005,AK,WRANGELL CITY AND BOROUGH,16.648361862050617,22.398996211228187
27,3.4339171182641897,15.0,44269.2,6640.38,AK,YAKUTAT BOROUGH,51.508756773962844,27.948307440104426
28,3.142462546191723,18.0,5359.0,964.62,AK,YUKON-KOYUKUK CENSUS AREA,56.564325831451015,28.753086795300188
29,0.8317466053361765,16.0,55533.0,8885.28,AL,AUTAUGA COUNTY,13.307945685378824,21.867246383230967
30,0.44486260300170755,15.0,217855.0,32678.25,AL,BALDWIN COUNTY,6.672939045025613,20.811041571265434
31,1.1986550914005625,19.0,24872.0,4725.68,AL,BARBOUR COUNTY,22.774446736610688,23.37418744670752
32,0.3914830931768562,17.0,22367.0,3802.3900000000003,AL,BIBB COUNTY,6.655212584006556,20.808219754432038
33,0.15575335846237226,17.0,57771.0,9821.070000000002,AL,BLOUNT COUNTY,2.6478070938603286,20.170294098646377
34,-1.6873765766122415,18.0,10174.0,1831.32,AL,BULLOCK COUNTY,-30.372778379020346,14.913856063112005
35,-0.3461219463263511,19.0,19631.0,3729.89,AL,BUTLER COUNTY,-6.576316980200671,18.70193622633659
36,0.28183082670786624,18.0,114331.0,20579.579999999998,AL,CALHOUN COUNTY,5.072954880741593,20.556345372002024
37,-0.026057154505280303,18.0,33600.0,6048.0,AL,CHAMBERS COUNTY,-0.4690287810950454,19.674135281078197
38,1.0397958394074016,18.0,26014.0,4682.5199999999995,AL,CHEROKEE COUNTY,18.71632510933323,22.72818845641206
39,0.4041113262300973,18.0,44163.0,7949.34,AL,CHILTON COUNTY,7.274003872141752,20.906723097617228
40,0.7543404888285531,18.0,12833.0,2309.94,AL,CHOCTAW COUNTY,13.578128798913955,21.91025594148703
41,0.3107983372565723,19.0,23918.0,4544.42,AL,CLARKE COUNTY,5.905168407874874,20.688822697133112
42,1.9775980778331883,19.0,13294.0,2525.86,AL,CLAY COUNTY,37.57436347883058,25.73013735408994
43,1.1664742597353401,18.0,15010.0,2701.7999999999997,AL,CLEBURNE COUNTY,20.996536675236122,23.091167811030743
44,1.0545851514192095,16.0,51950.0,8312.0,AL,COFFEE COUNTY,16.873362422707352,22.434813307991174
45,1.0545499884836136,17.0,55004.0,9350.68,AL,COLBERT COUNTY,17.927349804221432,22.60259408116111
