year,state,county,fmd,error,FIPS
2018,alaska,Juneau,10%,10-10%,2110
2018,alaska,Sitka,10%,10-10%,2220
2018,alaska,Wrangell,12%,11-12%,2275
2018,alaska,Yakutat,13%,12-13%,2282
2018,new-mexico,Dona Ana,13%,13-13%,35013
2018,wyoming,Weston,11%,11-11%,56045
2018,wyoming,Washakie,11%,11-12%,56043
2018,wyoming,Uinta,12%,12-12%,56041
2018,wyoming,Teton,10%,10-10%,56039
2018,wyoming,Sweetwater,11%,10-11%,56037
2018,wyoming,Sublette,10%,10-10%,56035
2018,wyoming,Sheridan,11%,10-11%,56033
2018,wyoming,Platte,11%,11-12%,56031
2018,wyoming,Park,11%,10-11%,56029
2018,wyoming,Niobrara,12%,12-13%,56027
2018,wyoming,Natrona,11%,11-12%,56025
2018,wyoming,Lincoln,10%,10-11%,56023
2018,wyoming,Laramie,11%,11-11%,56021
2018,wyoming,Johnson,11%,10-11%,56019
2018,wyoming,Hot Springs,11%,11-11%,56017
2018,wyoming,Goshen,12%,11-12%,56015
2018,wyoming,Fremont,12%,12-12%,56013
2018,wyoming,Crook,10%,10-10%,56011
2018,wyoming,Converse,10%,10-11%,56009
2018,wyoming,Carbon,11%,11-11%,56007
2018,wyoming,Campbell,10%,10-11%,56005
2018,wyoming,Big Horn,11%,11-11%,56003
2018,wyoming,Albany,12%,12-13%,56001
2018,wisconsin,Wood,11%,10-11%,55141
2018,wisconsin,Winnebago,11%,10-11%,55139
2018,wisconsin,Waushara,11%,11-11%,55137
2018,wisconsin,Waupaca,11%,10-11%,55135
2018,wisconsin,Waukesha,9%,9-10%,55133
2018,wisconsin,Washington,10%,9-10%,55131
2018,wisconsin,Washburn,11%,11-12%,55129
2018,wisconsin,Walworth,11%,10-11%,55127
2018,wisconsin,Vilas,12%,12-12%,55125
2018,wisconsin,Vernon,12%,11-12%,55123
2018,wisconsin,Trempealeau,11%,10-11%,55121
2018,wisconsin,Taylor,11%,11-12%,55119
2018,wisconsin,Sheboygan,10%,10-10%,55117
2018,wisconsin,Shawano,12%,11-12%,55115
2018,wisconsin,Sawyer,13%,13-14%,55113
2018,wisconsin,Sauk,11%,10-11%,55111
2018,wisconsin,St. Croix,10%,9-10%,55109
2018,wisconsin,Rusk,12%,12-12%,55107
2018,wisconsin,Rock,11%,11-12%,55105
2018,wisconsin,Richland,11%,11-12%,55103
2018,wisconsin,Racine,11%,11-11%,55101
2018,wisconsin,Price,11%,11-12%,55099
2018,wisconsin,Portage,11%,11-11%,55097
2018,wisconsin,Polk,11%,11-11%,55095
2018,wisconsin,Pierce,11%,10-11%,55093
2018,wisconsin,Pepin,11%,11-11%,55091
2018,wisconsin,Ozaukee,10%,9-10%,55089
2018,wisconsin,Outagamie,10%,10-11%,55087
2018,wisconsin,Oneida,10%,10-11%,55085
2018,wisconsin,Oconto,11%,10-11%,55083
2018,wisconsin,Monroe,11%,11-12%,55081
2018,wisconsin,Milwaukee,13%,13-13%,55079
2018,wisconsin,Menominee,20%,19-21%,55078
2018,wisconsin,Marquette,11%,11-11%,55077
