year,state,county,fmd,error,FIPS
2019,wisconsin,Dane,11%,10-11%,55025
2019,wisconsin,Crawford,11%,11-11%,55023
2019,wisconsin,Columbia,10%,10-11%,55021
2019,wisconsin,Clark,12%,11-12%,55019
2019,wisconsin,Chippewa,11%,10-11%,55017
2019,wisconsin,Calumet,10%,9-10%,55015
2019,wisconsin,Burnett,12%,12-13%,55013
2019,wisconsin,Buffalo,11%,10-11%,55011
2019,wisconsin,Brown,11%,10-11%,55009
2019,wisconsin,Bayfield,12%,12-12%,55007
2019,wisconsin,Barron,11%,11-12%,55005
2019,wisconsin,Ashland,13%,12-13%,55003
2019,wisconsin,Adams,11%,11-12%,55001
2019,west-virginia,Wyoming,17%,16-17%,54109
2019,west-virginia,Wood,14%,14-15%,54107
2019,west-virginia,Wirt,15%,15-16%,54105
2019,west-virginia,Wetzel,16%,15-16%,54103
2019,west-virginia,Webster,17%,16-17%,54101
2019,west-virginia,Wayne,16%,15-16%,54099
2019,west-virginia,Upshur,15%,14-15%,54097
2019,west-virginia,Tyler,15%,14-15%,54095
2019,west-virginia,Tucker,14%,14-15%,54093
2019,west-virginia,Taylor,15%,15-16%,54091
2019,west-virginia,Summers,17%,16-17%,54089
2019,west-virginia,Roane,16%,15-16%,54087
2019,west-virginia,Ritchie,15%,15-16%,54085
2019,west-virginia,Randolph,16%,15-16%,54083
2019,west-virginia,Raleigh,16%,16-17%,54081
2019,west-virginia,Putnam,14%,13-14%,54079
2019,west-virginia,Preston,15%,14-15%,54077
2019,west-virginia,Pocahontas,15%,15-16%,54075
2019,west-virginia,Pleasants,15%,14-15%,54073
2019,west-virginia,Pendleton,15%,15-15%,54071
2019,west-virginia,Ohio,15%,14-15%,54069
2019,west-virginia,Nicholas,16%,15-16%,54067
2019,west-virginia,Morgan,14%,14-15%,54065
2019,west-virginia,Monroe,15%,14-15%,54063
2019,west-virginia,Monongalia,14%,14-15%,54061
2019,west-virginia,Mingo,17%,16-17%,54059
2019,west-virginia,Mineral,15%,15-16%,54057
2019,west-virginia,Mercer,16%,16-17%,54055
2019,west-virginia,Mason,16%,15-16%,54053
2019,west-virginia,Marshall,15%,14-15%,54051
2019,west-virginia,Marion,14%,14-15%,54049
2019,west-virginia,McDowell,19%,19-20%,54047
2019,west-virginia,Logan,16%,16-17%,54045
2019,west-virginia,Lincoln,16%,16-17%,54043
2019,west-virginia,Lewis,15%,15-16%,54041
2019,west-virginia,Kanawha,15%,14-15%,54039
2019,west-virginia,Jefferson,13%,13-14%,54037
2019,west-virginia,Jackson,15%,14-15%,54035
2019,west-virginia,Harrison,15%,14-15%,54033
2019,west-virginia,Hardy,15%,14-15%,54031
2019,west-virginia,Hancock,14%,14-15%,54029
2019,west-virginia,Hampshire,15%,15-16%,54027
2019,west-virginia,Greenbrier,15%,15-15%,54025
2019,west-virginia,Grant,15%,15-16%,54023
2019,west-virginia,Gilmer,16%,15-16%,54021
2019,west-virginia,Fayette,16%,16-17%,54019
2019,west-virginia,Doddridge,14%,14-15%,54017
2019,west-virginia,Clay,16%,15-16%,54015
2019,west-virginia,Calhoun,15%,15-16%,54013
2019,west-virginia,Cabell,16%,15-16%,54011
2019,west-virginia,Brooke,14%,14-14%,54009
2019,west-virginia,Braxton,15%,15-16%,54007
2019,west-virginia,Boone,16%,16-17%,54005
2019,west-virginia,Berkeley,15%,14-15%,54003
2019,west-virginia,Barbour,16%,16-17%,54001
2019,washington,Yakima,13%,13-13%,53077
2019,washington,Whitman,13%,13-14%,53075
2019,washington,Whatcom,12%,12-12%,53073
2019,washington,Walla Walla,12%,11-12%,53071
2019,washington,Wahkiakum,12%,12-12%,53069
2019,washington,Thurston,11%,10-11%,53067
2019,washington,Stevens,13%,12-13%,53065
2019,washington,Spokane,12%,12-12%,53063
2019,washington,Snohomish,10%,10-10%,53061
2019,washington,Skamania,12%,12-13%,53059
2019,washington,Skagit,12%,11-12%,53057
2019,washington,San Juan,11%,11-11%,53055
2019,washington,Pierce,12%,11-12%,53053
2019,washington,Pend Oreille,13%,13-13%,53051
2019,washington,Pacific,14%,13-14%,53049
2019,washington,Okanogan,14%,13-14%,53047
2019,washington,Mason,12%,12-12%,53045
2019,washington,Lincoln,12%,12-12%,53043
2019,washington,Lewis,13%,12-13%,53041
2019,washington,Klickitat,12%,12-13%,53039
2019,washington,Kittitas,12%,12-12%,53037
2019,washington,Kitsap,11%,10-11%,53035
2019,washington,King,9%,9-9%,53033
2019,washington,Jefferson,11%,11-12%,53031
2019,washington,Island,10%,10-11%,53029
2019,washington,Grays Harbor,13%,12-13%,53027
2019,washington,Grant,12%,12-12%,53025
2019,washington,Garfield,12%,11-12%,53023
2019,washington,Franklin,12%,12-12%,53021
2019,washington,Ferry,14%,14-15%,53019
2019,washington,Douglas,12%,12-12%,53017
2019,washington,Cowlitz,12%,12-12%,53015
2019,washington,Columbia,13%,12-13%,53013
2019,washington,Clark,11%,11-11%,53011
2019,washington,Clallam,12%,12-12%,53009
2019,washington,Chelan,11%,11-12%,53007
2019,washington,Benton,11%,11-11%,53005
2019,washington,Asotin,12%,12-12%,53003
2019,washington,Adams,13%,12-13%,53001
2019,virginia,Winchester City,12%,12-12%,51840
2019,virginia,Williamsburg City,12%,12-12%,51830
2019,virginia,Waynesboro City,12%,12-12%,51820
2019,virginia,Virginia Beach City,10%,10-10%,51810
2019,virginia,Suffolk City,11%,10-11%,51800
2019,virginia,Staunton City,12%,12-12%,51790
2019,virginia,Salem City,11%,11-11%,51775
2019,virginia,Roanoke City,13%,12-13%,51770
2019,virginia,Richmond City,13%,13-14%,51760
2019,virginia,Radford City,16%,15-16%,51750
2019,virginia,Portsmouth City,12%,12-13%,51740
2019,virginia,Poquoson City,10%,9-10%,51735
2019,virginia,Petersburg City,14%,13-14%,51730
2019,virginia,Norton City,14%,13-14%,51720
2019,virginia,Norfolk City,12%,12-13%,51710
2019,virginia,Newport News City,12%,12-12%,51700
2019,virginia,Martinsville City,13%,13-14%,51690
2019,virginia,Manassas Park City,11%,11-11%,51685
2019,virginia,Manassas City,10%,10-11%,51683
2019,virginia,Lynchburg City,13%,12-13%,51680
2019,virginia,Lexington City,12%,12-13%,51678
2019,virginia,Hopewell City,13%,12-13%,51670
2019,virginia,Harrisonburg City,14%,14-14%,51660
2019,virginia,Hampton City,12%,11-12%,51650
2019,virginia,Galax City,14%,14-14%,51640
2019,virginia,Fredericksburg City,12%,12-12%,51630
2019,virginia,Franklin City,13%,13-13%,51620
2019,virginia,Falls Church City,9%,9-9%,51610
2019,virginia,Fairfax City,9%,9-9%,51600
2019,virginia,Emporia City,16%,15-16%,51595
2019,virginia,Danville City,13%,13-14%,51590
2019,virginia,Covington City,12%,12-13%,51580
2019,virginia,Colonial Heights City,12%,11-12%,51570
2019,virginia,Chesapeake City,10%,10-11%,51550
2019,virginia,Charlottesville City,13%,12-13%,51540
2019,virginia,Buena Vista City,15%,15-16%,51530
2019,virginia,Bristol City,14%,13-14%,51520
2019,virginia,Alexandria City,10%,10-10%,51510
2019,virginia,York,10%,10-10%,51199
2019,virginia,Wythe,12%,12-13%,51197
2019,virginia,Wise,13%,13-14%,51195
2019,virginia,Westmoreland,12%,12-12%,51193
2019,virginia,Washington,12%,12-12%,51191
2019,virginia,Warren,11%,10-11%,51187
2019,virginia,Tazewell,12%,12-13%,51185
2019,virginia,Sussex,12%,11-12%,51183
2019,virginia,Surry,12%,11-12%,51181
2019,virginia,Stafford,10%,10-10%,51179
2019,virginia,Spotsylvania,10%,10-11%,51177
2019,virginia,Southampton,12%,11-12%,51175
2019,virginia,Smyth,13%,12-13%,51173
2019,virginia,Shenandoah,11%,11-12%,51171
2019,virginia,Scott,13%,12-13%,51169
2019,virginia,Russell,13%,13-13%,51167
2019,virginia,Rockingham,11%,11-11%,51165
2019,virginia,Rockbridge,12%,12-12%,51163
2019,virginia,Roanoke,11%,10-11%,51161
2019,virginia,Richmond,13%,12-13%,51159
2019,virginia,Rappahannock,10%,10-11%,51157
2019,virginia,Pulaski,11%,11-12%,51155
2019,virginia,Prince William,10%,9-10%,51153
2019,virginia,Prince George,10%,10-10%,51149
2019,virginia,Prince Edward,13%,12-13%,51147
2019,virginia,Powhatan,10%,9-10%,51145
2019,virginia,Pittsylvania,12%,11-12%,51143
2019,virginia,Patrick,13%,13-13%,51141
2019,virginia,Page,12%,11-12%,51139
2019,virginia,Orange,11%,10-11%,51137
2019,virginia,Nottoway,12%,12-13%,51135
2019,virginia,Northumberland,11%,11-11%,51133
2019,virginia,Northampton,13%,12-13%,51131
2019,virginia,New Kent,10%,9-10%,51127
2019,virginia,Nelson,12%,12-12%,51125
2019,virginia,Montgomery,12%,12-12%,51121
2019,virginia,Middlesex,11%,11-11%,51119
2019,virginia,Mecklenburg,12%,12-12%,51117
2019,virginia,Mathews,11%,10-11%,51115
2019,virginia,Madison,12%,12-12%,51113
2019,virginia,Lunenburg,13%,12-13%,51111
2019,virginia,Louisa,11%,11-12%,51109
2019,virginia,Loudoun,9%,8-9%,51107
2019,virginia,Lee,14%,13-14%,51105
2019,virginia,Lancaster,11%,11-11%,51103
2019,virginia,King William,11%,11-11%,51101
2019,virginia,King George,10%,10-10%,51099
2019,virginia,King and Queen,12%,12-12%,51097
2019,virginia,James City,10%,10-10%,51095
2019,virginia,Isle of Wight,11%,10-11%,51093
2019,virginia,Highland,12%,11-12%,51091
2019,virginia,Henry,13%,13-14%,51089
2019,virginia,Henrico,11%,10-11%,51087
2019,virginia,Hanover,10%,9-10%,51085
2019,virginia,Halifax,13%,12-13%,51083
2019,virginia,Greensville,12%,12-13%,51081
2019,virginia,Greene,11%,11-12%,51079
2019,virginia,Grayson,13%,13-14%,51077
2019,virginia,Goochland,10%,10-10%,51075
2019,virginia,Gloucester,10%,10-10%,51073
2019,virginia,Giles,11%,11-11%,51071
2019,virginia,Frederick,10%,10-11%,51069
2019,virginia,Franklin,12%,11-12%,51067
2019,virginia,Fluvanna,10%,10-11%,51065
2019,virginia,Floyd,12%,11-12%,51063
2019,virginia,Fauquier,10%,10-10%,51061
2019,virginia,Fairfax,9%,9-9%,51059
2019,virginia,Essex,12%,11-12%,51057
2019,virginia,Dinwiddie,12%,11-12%,51053
2019,virginia,Dickenson,13%,13-14%,51051
2019,virginia,Cumberland,13%,13-13%,51049
2019,virginia,Culpeper,11%,11-11%,51047
2019,virginia,Craig,12%,12-13%,51045
2019,virginia,Clarke,11%,11-11%,51043
2019,virginia,Chesterfield,10%,10-10%,51041
2019,virginia,Charlotte,14%,13-14%,51037
2019,virginia,Charles City,12%,12-12%,51036
2019,virginia,Carroll,12%,12-13%,51035
2019,virginia,Caroline,11%,11-12%,51033
2019,virginia,Campbell,12%,11-12%,51031
2019,virginia,Buckingham,12%,11-12%,51029
2019,virginia,Buchanan,13%,13-13%,51027
2019,virginia,Brunswick,13%,12-13%,51025
2019,virginia,Botetourt,10%,10-11%,51023
2019,virginia,Bland,10%,10-11%,51021
2019,virginia,Bedford,10%,10-11%,51019
2019,virginia,Bath,12%,12-12%,51017
2019,virginia,Augusta,10%,10-11%,51015
2019,virginia,Arlington,10%,9-10%,51013
2019,virginia,Appomattox,12%,12-12%,51011
2019,virginia,Amherst,12%,11-12%,51009
2019,virginia,Amelia,11%,11-11%,51007
2019,virginia,Alleghany,12%,12-12%,51005
2019,virginia,Albemarle,10%,10-11%,51003
2019,virginia,Accomack,13%,12-13%,51001
2019,vermont,Windsor,12%,12-13%,50027
2019,vermont,Windham,12%,12-12%,50025
2019,vermont,Washington,11%,11-12%,50023
2019,vermont,Rutland,12%,12-13%,50021
2019,vermont,Orleans,13%,12-13%,50019
2019,vermont,Orange,12%,12-12%,50017
2019,vermont,Lamoille,12%,12-12%,50015
2019,vermont,Grand Isle,11%,11-11%,50013
2019,vermont,Franklin,12%,11-12%,50011
2019,vermont,Essex,13%,12-13%,50009
2019,vermont,Chittenden,11%,10-11%,50007
2019,vermont,Caledonia,12%,12-12%,50005
2019,vermont,Bennington,12%,12-12%,50003
2019,vermont,Addison,11%,11-11%,50001
2019,utah,Weber,11%,11-12%,49057
2019,utah,Wayne,11%,11-11%,49055
2019,utah,Washington,11%,11-12%,49053
2019,utah,Wasatch,10%,10-10%,49051
2019,utah,Utah,11%,10-11%,49049
2019,utah,Uintah,11%,11-12%,49047
2019,utah,Tooele,11%,11-11%,49045
2019,utah,Summit,9%,9-10%,49043
2019,utah,Sevier,11%,11-12%,49041
2019,utah,Sanpete,11%,11-12%,49039
2019,utah,San Juan,16%,16-16%,49037
2019,utah,Salt Lake,11%,10-11%,49035
2019,utah,Rich,12%,11-12%,49033
2019,utah,Piute,12%,11-12%,49031
2019,utah,Morgan,10%,9-10%,49029
2019,utah,Millard,11%,10-11%,49027
2019,utah,Kane,11%,11-11%,49025
2019,utah,Juab,11%,11-12%,49023
2019,utah,Iron,12%,12-13%,49021
2019,utah,Grand,12%,12-12%,49019
2019,utah,Garfield,12%,11-12%,49017
2019,utah,Emery,11%,11-12%,49015
2019,utah,Duchesne,11%,11-11%,49013
2019,utah,Davis,10%,9-10%,49011
2019,utah,Daggett,9%,9-9%,49009
2019,utah,Carbon,11%,11-12%,49007
2019,utah,Cache,11%,11-11%,49005
2019,utah,Box Elder,11%,11-11%,49003
2019,utah,Beaver,11%,10-11%,49001
2019,texas,Zavala,15%,15-15%,48507
2019,texas,Zapata,14%,13-14%,48505
2019,texas,Young,12%,11-12%,48503
2019,texas,Yoakum,11%,11-11%,48501
2019,texas,Wood,11%,11-11%,48499
2019,texas,Wise,11%,11-11%,48497
2019,texas,Winkler,11%,11-11%,48495
2019,texas,Wilson,10%,10-10%,48493
2019,texas,Williamson,9%,9-10%,48491
2019,texas,Willacy,15%,14-15%,48489
2019,texas,Wilbarger,12%,11-12%,48487
2019,texas,Wichita,12%,12-13%,48485
2019,texas,Wheeler,11%,11-12%,48483
2019,texas,Wharton,12%,12-12%,48481
2019,texas,Webb,14%,13-14%,48479
2019,texas,Washington,11%,11-11%,48477
2019,texas,Ward,11%,11-11%,48475
2019,texas,Waller,11%,11-12%,48473
2019,texas,Walker,12%,11-12%,48471
2019,texas,Victoria,11%,11-11%,48469
2019,texas,Van Zandt,11%,11-12%,48467
2019,texas,Val Verde,12%,12-12%,48465
2019,texas,Uvalde,13%,12-13%,48463
2019,texas,Upton,11%,11-12%,48461
2019,texas,Upshur,11%,11-11%,48459
2019,texas,Tyler,11%,11-11%,48457
2019,texas,Trinity,13%,12-13%,48455
2019,texas,Travis,10%,10-10%,48453
2019,texas,Tom Green,11%,11-11%,48451
2019,texas,Titus,12%,12-13%,48449
2019,texas,Throckmorton,11%,11-11%,48447
2019,texas,Terry,12%,12-12%,48445
2019,texas,Terrell,12%,12-13%,48443
2019,texas,Taylor,12%,11-12%,48441
2019,texas,Tarrant,11%,10-11%,48439
2019,texas,Swisher,12%,12-12%,48437
2019,texas,Sutton,10%,10-10%,48435
2019,texas,Stonewall,12%,12-12%,48433
2019,texas,Sterling,12%,12-13%,48431
2019,texas,Stephens,12%,12-12%,48429
2019,texas,Starr,15%,15-16%,48427
2019,texas,Somervell,12%,11-12%,48425
2019,texas,Smith,12%,11-12%,48423
2019,texas,Sherman,10%,10-11%,48421
2019,texas,Shelby,13%,13-13%,48419
2019,texas,Shackelford,11%,11-12%,48417
2019,texas,Scurry,11%,10-11%,48415
2019,texas,Schleicher,10%,10-10%,48413
2019,texas,San Saba,12%,12-12%,48411
2019,texas,San Patricio,11%,11-11%,48409
2019,texas,San Jacinto,12%,12-13%,48407
2019,texas,San Augustine,14%,14-14%,48405
2019,texas,Sabine,13%,12-13%,48403
2019,texas,Rusk,11%,11-12%,48401
2019,texas,Runnels,12%,11-12%,48399
2019,texas,Rockwall,10%,9-10%,48397
2019,texas,Robertson,11%,11-12%,48395
2019,texas,Roberts,10%,9-10%,48393
2019,texas,Refugio,11%,11-11%,48391
2019,texas,Reeves,11%,10-11%,48389
2019,texas,Red River,12%,12-12%,48387
2019,texas,Real,12%,12-12%,48385
2019,texas,Reagan,11%,11-12%,48383
2019,texas,Randall,10%,10-11%,48381
2019,texas,Rains,11%,11-11%,48379
2019,texas,Presidio,13%,13-14%,48377
2019,texas,Potter,12%,12-12%,48375
2019,texas,Polk,12%,12-12%,48373
2019,texas,Pecos,10%,10-10%,48371
2019,texas,Parmer,12%,11-12%,48369
2019,texas,Parker,10%,10-10%,48367
2019,texas,Panola,11%,11-12%,48365
2019,texas,Palo Pinto,12%,12-12%,48363
2019,texas,Orange,11%,11-12%,48361
2019,texas,Oldham,11%,11-12%,48359
2019,texas,Ochiltree,11%,11-11%,48357
2019,texas,Nueces,11%,11-12%,48355
2019,texas,Nolan,12%,11-12%,48353
2019,texas,Newton,12%,11-12%,48351
2019,texas,Navarro,12%,12-12%,48349
2019,texas,Nacogdoches,13%,12-13%,48347
2019,texas,Motley,12%,12-12%,48345
2019,texas,Morris,12%,11-12%,48343
2019,texas,Moore,12%,11-12%,48341
2019,texas,Montgomery,10%,10-10%,48339
2019,texas,Montague,12%,11-12%,48337
2019,texas,Mitchell,10%,10-10%,48335
2019,texas,Mills,11%,11-12%,48333
2019,texas,Milam,12%,12-12%,48331
2019,texas,Midland,10%,10-10%,48329
2019,texas,Menard,11%,11-11%,48327
2019,texas,Medina,11%,10-11%,48325
2019,texas,Maverick,13%,13-14%,48323
2019,texas,Matagorda,12%,12-12%,48321
2019,texas,Mason,11%,11-11%,48319
2019,texas,Martin,11%,11-11%,48317
2019,texas,Marion,12%,12-12%,48315
2019,texas,Madison,11%,11-11%,48313
2019,texas,McMullen,11%,10-11%,48311
2019,texas,McLennan,12%,12-12%,48309
2019,texas,McCulloch,12%,12-13%,48307
2019,texas,Lynn,12%,12-12%,48305
2019,texas,Lubbock,12%,11-12%,48303
2019,texas,Loving,12%,11-12%,48301
2019,texas,Llano,12%,11-12%,48299
2019,texas,Live Oak,11%,11-11%,48297
2019,texas,Lipscomb,10%,10-11%,48295
2019,texas,Limestone,12%,12-13%,48293
2019,texas,Liberty,12%,12-12%,48291
2019,texas,Leon,12%,11-12%,48289
2019,texas,Lee,11%,11-11%,48287
2019,texas,Lavaca,11%,10-11%,48285
2019,texas,La Salle,12%,12-12%,48283
2019,texas,Lampasas,11%,11-11%,48281
2019,texas,Lamb,13%,13-13%,48279
2019,texas,Lamar,13%,12-13%,48277
2019,texas,Knox,12%,11-12%,48275
2019,texas,Kleberg,12%,12-12%,48273
2019,texas,Kinney,12%,12-13%,48271
2019,texas,King,11%,10-11%,48269
2019,texas,Kimble,11%,11-12%,48267
2019,texas,Kerr,12%,11-12%,48265
2019,texas,Kent,10%,10-11%,48263
2019,texas,Kenedy,12%,12-13%,48261
2019,texas,Kendall,10%,9-10%,48259
2019,texas,Kaufman,11%,11-11%,48257
2019,texas,Karnes,11%,11-12%,48255
2019,texas,Jones,11%,10-11%,48253
2019,texas,Johnson,11%,10-11%,48251
2019,texas,Jim Wells,12%,12-12%,48249
2019,texas,Jim Hogg,12%,12-13%,48247
2019,texas,Jefferson,12%,11-12%,48245
2019,texas,Jeff Davis,12%,12-12%,48243
2019,texas,Jasper,12%,11-12%,48241
2019,texas,Jackson,11%,10-11%,48239
2019,texas,Jack,11%,11-11%,48237
2019,texas,Irion,10%,10-10%,48235
2019,texas,Hutchinson,11%,11-12%,48233
2019,texas,Hunt,12%,12-12%,48231
2019,texas,Hudspeth,14%,14-15%,48229
2019,texas,Howard,11%,11-11%,48227
2019,texas,Houston,12%,12-13%,48225
2019,texas,Hopkins,12%,12-12%,48223
2019,texas,Hood,11%,10-11%,48221
2019,texas,Hockley,11%,11-12%,48219
2019,texas,Hill,12%,12-12%,48217
2019,texas,Hidalgo,13%,13-14%,48215
2019,texas,Henderson,12%,12-12%,48213
2019,texas,Hemphill,11%,11-11%,48211
2019,texas,Hays,11%,11-12%,48209
2019,texas,Haskell,12%,11-12%,48207
2019,texas,Hartley,9%,9-9%,48205
2019,texas,Harrison,11%,11-12%,48203
2019,texas,Harris,11%,11-11%,48201
2019,texas,Hardin,11%,10-11%,48199
2019,texas,Hardeman,12%,12-13%,48197
2019,texas,Hansford,12%,12-12%,48195
2019,texas,Hamilton,11%,11-12%,48193
2019,texas,Hall,15%,14-15%,48191
2019,texas,Hale,12%,12-12%,48189
2019,texas,Guadalupe,10%,10-11%,48187
2019,texas,Grimes,12%,12-12%,48185
2019,texas,Gregg,12%,12-12%,48183
2019,texas,Grayson,11%,11-12%,48181
2019,texas,Gray,11%,11-12%,48179
2019,texas,Gonzales,12%,11-12%,48177
2019,texas,Goliad,11%,11-11%,48175
2019,texas,Glasscock,10%,10-10%,48173
2019,texas,Gillespie,11%,10-11%,48171
2019,texas,Garza,10%,10-11%,48169
2019,texas,Galveston,11%,11-11%,48167
2019,texas,Gaines,11%,11-11%,48165
2019,texas,Frio,12%,12-12%,48163
2019,texas,Freestone,11%,11-12%,48161
2019,texas,Franklin,12%,11-12%,48159
2019,texas,Fort Bend,9%,9-9%,48157
2019,texas,Foard,11%,10-11%,48155
2019,texas,Floyd,13%,13-13%,48153
2019,texas,Fisher,11%,11-12%,48151
2019,texas,Fayette,11%,10-11%,48149
2019,texas,Fannin,12%,11-12%,48147
2019,texas,Falls,13%,13-13%,48145
2019,texas,Erath,12%,12-13%,48143
2019,texas,El Paso,13%,12-13%,48141
2019,texas,Ellis,10%,10-11%,48139
2019,texas,Edwards,11%,10-11%,48137
2019,texas,Ector,10%,10-11%,48135
2019,texas,Eastland,12%,12-12%,48133
2019,texas,Duval,13%,12-13%,48131
2019,texas,Donley,11%,11-12%,48129
2019,texas,Dimmit,13%,12-13%,48127
2019,texas,Dickens,11%,11-12%,48125
2019,texas,DeWitt,11%,11-12%,48123
2019,texas,Denton,10%,9-10%,48121
2019,texas,Delta,12%,12-13%,48119
2019,texas,Deaf Smith,11%,11-12%,48117
2019,texas,Dawson,11%,11-12%,48115
2019,texas,Dallas,11%,11-11%,48113
2019,texas,Dallam,11%,11-12%,48111
2019,texas,Culberson,13%,13-14%,48109
2019,texas,Crosby,12%,12-13%,48107
2019,texas,Crockett,11%,10-11%,48105
2019,texas,Crane,10%,10-10%,48103
2019,texas,Cottle,12%,12-13%,48101
2019,texas,Coryell,11%,11-12%,48099
2019,texas,Cooke,11%,11-11%,48097
2019,texas,Concho,10%,10-10%,48095
2019,texas,Comanche,12%,12-12%,48093
2019,texas,Comal,10%,10-10%,48091
2019,texas,Colorado,11%,11-11%,48089
2019,texas,Collingsworth,13%,13-13%,48087
2019,texas,Collin,10%,9-10%,48085
2019,texas,Coleman,12%,12-12%,48083
2019,texas,Coke,11%,11-12%,48081
2019,texas,Cochran,13%,13-13%,48079
2019,texas,Clay,11%,11-11%,48077
2019,texas,Childress,12%,11-12%,48075
2019,texas,Cherokee,12%,12-13%,48073
2019,texas,Chambers,11%,10-11%,48071
2019,texas,Castro,12%,12-12%,48069
2019,texas,Cass,12%,12-12%,48067
2019,texas,Carson,10%,10-10%,48065
2019,texas,Camp,12%,12-13%,48063
2019,texas,Cameron,14%,13-14%,48061
2019,texas,Callahan,12%,11-12%,48059
2019,texas,Calhoun,11%,11-11%,48057
2019,texas,Caldwell,12%,12-12%,48055
2019,texas,Burnet,11%,11-11%,48053
2019,texas,Burleson,11%,11-11%,48051
2019,texas,Brown,12%,11-12%,48049
2019,texas,Brooks,14%,14-15%,48047
2019,texas,Briscoe,12%,12-12%,48045
