year,state,county,fmd,error,FIPS
2019,alaska,Juneau,10%,10-10%,2110
2019,alaska,Sitka,10%,10-10%,2220
2019,alaska,Wrangell,12%,11-12%,2275
2019,alaska,Yakutat,13%,12-13%,2282
2019,new-mexico,Dona Ana,13%,13-13%,35013
2019,wyoming,Weston,11%,11-11%,56045
2019,wyoming,Washakie,11%,11-12%,56043
2019,wyoming,Uinta,12%,12-12%,56041
2019,wyoming,Teton,10%,10-10%,56039
2019,wyoming,Sweetwater,11%,10-11%,56037
2019,wyoming,Sublette,10%,10-10%,56035
2019,wyoming,Sheridan,11%,10-11%,56033
2019,wyoming,Platte,11%,11-12%,56031
2019,wyoming,Park,11%,10-11%,56029
2019,wyoming,Niobrara,12%,12-13%,56027
2019,wyoming,Natrona,11%,11-12%,56025
2019,wyoming,Lincoln,10%,10-11%,56023
2019,wyoming,Laramie,11%,11-11%,56021
2019,wyoming,Johnson,11%,10-11%,56019
2019,wyoming,Hot Springs,11%,11-11%,56017
2019,wyoming,Goshen,12%,11-12%,56015
2019,wyoming,Fremont,12%,12-12%,56013
2019,wyoming,Crook,10%,10-10%,56011
2019,wyoming,Converse,10%,10-11%,56009
2019,wyoming,Carbon,11%,11-11%,56007
2019,wyoming,Campbell,10%,10-11%,56005
2019,wyoming,Big Horn,11%,11-11%,56003
2019,wyoming,Albany,12%,12-13%,56001
2019,wisconsin,Wood,11%,10-11%,55141
2019,wisconsin,Winnebago,11%,10-11%,55139
2019,wisconsin,Waushara,11%,11-11%,55137
2019,wisconsin,Waupaca,11%,10-11%,55135
2019,wisconsin,Waukesha,9%,9-10%,55133
2019,wisconsin,Washington,10%,9-10%,55131
2019,wisconsin,Washburn,11%,11-12%,55129
2019,wisconsin,Walworth,11%,10-11%,55127
2019,wisconsin,Vilas,12%,12-12%,55125
2019,wisconsin,Vernon,12%,11-12%,55123
2019,wisconsin,Trempealeau,11%,10-11%,55121
2019,wisconsin,Taylor,11%,11-12%,55119
2019,wisconsin,Sheboygan,10%,10-10%,55117
2019,wisconsin,Shawano,12%,11-12%,55115
2019,wisconsin,Sawyer,13%,13-14%,55113
2019,wisconsin,Sauk,11%,10-11%,55111
2019,wisconsin,St. Croix,10%,9-10%,55109
2019,wisconsin,Rusk,12%,12-12%,55107
2019,wisconsin,Rock,11%,11-12%,55105
2019,wisconsin,Richland,11%,11-12%,55103
2019,wisconsin,Racine,11%,11-11%,55101
2019,wisconsin,Price,11%,11-12%,55099
2019,wisconsin,Portage,11%,11-11%,55097
2019,wisconsin,Polk,11%,11-11%,55095
2019,wisconsin,Pierce,11%,10-11%,55093
2019,wisconsin,Pepin,11%,11-11%,55091
2019,wisconsin,Ozaukee,10%,9-10%,55089
2019,wisconsin,Outagamie,10%,10-11%,55087
2019,wisconsin,Oneida,10%,10-11%,55085
2019,wisconsin,Oconto,11%,10-11%,55083
2019,wisconsin,Monroe,11%,11-12%,55081
2019,wisconsin,Milwaukee,13%,13-13%,55079
2019,wisconsin,Menominee,20%,19-21%,55078
2019,wisconsin,Marquette,11%,11-11%,55077
2019,wisconsin,Marinette,11%,11-12%,55075
2019,wisconsin,Marathon,10%,10-11%,55073
2019,wisconsin,Manitowoc,11%,10-11%,55071
2019,wisconsin,Lincoln,11%,10-11%,55069
2019,wisconsin,Langlade,12%,11-12%,55067
2019,wisconsin,Lafayette,11%,11-11%,55065
2019,wisconsin,La Crosse,11%,11-11%,55063
2019,wisconsin,Kewaunee,10%,10-11%,55061
2019,wisconsin,Kenosha,11%,11-12%,55059
2019,wisconsin,Juneau,11%,11-12%,55057
2019,wisconsin,Jefferson,11%,10-11%,55055
2019,wisconsin,Jackson,11%,11-12%,55053
2019,wisconsin,Iron,11%,11-12%,55051
2019,wisconsin,Iowa,10%,10-11%,55049
2019,wisconsin,Green Lake,11%,11-12%,55047
2019,wisconsin,Green,10%,10-11%,55045
2019,wisconsin,Grant,11%,11-12%,55043
2019,wisconsin,Forest,13%,12-13%,55041
2019,wisconsin,Fond du Lac,11%,10-11%,55039
2019,wisconsin,Florence,11%,11-11%,55037
2019,wisconsin,Eau Claire,11%,11-11%,55035
2019,wisconsin,Dunn,11%,11-12%,55033
2019,wisconsin,Douglas,12%,11-12%,55031
2019,wisconsin,Door,10%,10-11%,55029
2019,wisconsin,Dodge,10%,10-10%,55027
